original_path,existing_github_or_previous_path,final_path,category,action,source_sha256,final_sha256,notes
上位机.vi,src/SerialHostUI.vi,src/SerialHostUI.vi,serial,renamed,312e8ce53963a95db7d745ca58260f4551801701a985bf4e79d5848b3109197e,312e8ce53963a95db7d745ca58260f4551801701a985bf4e79d5848b3109197e,Serial host-computer user interface.
控件 1.ctl,src/1.ctl,src/控件 1.ctl,type-definition,retained_dependency,ebe0909ce17d9426f4e88eb41d6128c34ecef57df237e2bd219ed56e77d471c1,ebe0909ce17d9426f4e88eb41d6128c34ecef57df237e2bd219ed56e77d471c1,Referenced by several camera/serial VIs. Suggested future name: CameraControl.ctl.
demo/Demo111.vi,src/demo/CameraSerialPrototype_111.vi,src/demo/CameraSerialPrototype_111.vi,camera-serial,renamed,bce4d3e8cf469f96e7b3a17d071cabfdfa9bdaade097bf6d46ebbf9277215aa4,bce4d3e8cf469f96e7b3a17d071cabfdfa9bdaade097bf6d46ebbf9277215aa4,Prototype identifier 111 retained.
demo/Demo222.vi,src/demo/CameraSerialPrototype_222.vi,src/demo/CameraSerialPrototype_222.vi,camera-serial,renamed,74e68d9a973fcd783a088a0080fae2ca55a6f3683b870aeda1f8734455f0a94d,74e68d9a973fcd783a088a0080fae2ca55a6f3683b870aeda1f8734455f0a94d,Prototype identifier 222 retained.
demo/Image for Use_0.vi,src/demo/Image for Use_0.vi,src/demo/Image for Use_0.vi,shared-image,retained_dependency,7d7cd3ac4da60e27cd176ff033cf85dbcc033dce6c2c362c914a643c93b94df4,7d7cd3ac4da60e27cd176ff033cf85dbcc033dce6c2c362c914a643c93b94df4,Referenced by demo VIs; differs from the root helper despite the same filename.
demo/清除.vi,src/demo/CloseIMAQdxCamera.vi,src/demo/CloseIMAQdxCamera.vi,camera,renamed,e403b316d5ddbc589721268fde2a11661371e3c714f76f7eda8d4acecf483b1f,e403b316d5ddbc589721268fde2a11661371e3c714f76f7eda8d4acecf483b1f,Contains IMAQdx camera-close functionality.
LabVIEW串口调试/LabVIEW串口调试.lvproj,src/LabVIEW/SerialDebugger.lvproj,src/serial-debugger/SerialDebugger.lvproj,project,renamed_and_localized,8f496ce4d3b17429f895508a81324837911b504c65263455fbc91dc6f57d59c9,26a92b9c0e33aeaf0437aa5faaf231105b126862f1784b13728ac3a56eb9edca,Project path and visible project labels translated to English.
LabVIEW串口调试/SubVI/Demo/XY图多条曲线显示.vi,src/LabVIEW/SubVI/Demo/PlotMultipleXYCurves.vi,src/serial-debugger/SubVI/Demo/PlotMultipleXYCurves.vi,plotting,renamed,f86b9beec963bcb1bf34d596ba7c04bb27021e737cd377736dcd83850eb451ed,f86b9beec963bcb1bf34d596ba7c04bb27021e737cd377736dcd83850eb451ed,Direct English translation of function.
LabVIEW串口调试/SubVI/Demo/串口通讯Demo.vi,src/LabVIEW/SubVI/Demo/SerialCommunication_Demo.vi,src/serial-debugger/SubVI/Demo/SerialCommunication_Demo.vi,serial,renamed,3677e735798e00df7898d3d6267e2e04e32ec6ab3e57ca716cb0d423347288f1,3677e735798e00df7898d3d6267e2e04e32ec6ab3e57ca716cb0d423347288f1,Direct English translation of function.
LabVIEW串口调试/SubVI/Demo/状态机.ctl,src/LabVIEW/SubVI/Demo/s.ctl,src/serial-debugger/SubVI/Demo/状态机.ctl,type-definition,retained_dependency,8d482343064fbebd4d9b82b39fcb6c86689ef14ccd7be959d42ce2cd2a614c5c,8d482343064fbebd4d9b82b39fcb6c86689ef14ccd7be959d42ce2cd2a614c5c,Referenced by PlanckExperiment_Main.vi. Suggested future name: StateMachine.ctl.
LabVIEW串口调试/SubVI/Demo/状态机0.ctl,src/LabVIEW/SubVI/Demo/clt.ctl,src/serial-debugger/SubVI/Demo/状态机0.ctl,type-definition,retained_dependency,24e20c887ccfd8e909ba39ddc7e8381a09cba32bad9f9f80029589ee26e14f9a,24e20c887ccfd8e909ba39ddc7e8381a09cba32bad9f9f80029589ee26e14f9a,Referenced by legacy main VIs. Suggested future name: StateMachineLegacy.ctl.
LabVIEW串口调试/User Interface/Planck_UP.vi,src/LabVIEW/User Interface/PlanckExperiment_Main.vi,src/serial-debugger/user-interface/PlanckExperiment_Main.vi,serial-ui,renamed,a24c8e93d717f4bcba6b820e8d3320d94a393a5b0ea3a97d2b0129522e4f834a,a24c8e93d717f4bcba6b820e8d3320d94a393a5b0ea3a97d2b0129522e4f834a,Main Planck experiment interface.
LabVIEW串口调试/User Interface/主程序1.vi,src/LabVIEW/User Interface/主程序1.vi,src/serial-debugger/user-interface/PlanckExperiment_LegacyMain.vi,serial-ui,renamed,11fdad5a2699375d4b594b3341bf66723a4d66c716ebc15bd84da9537a5de3b1,11fdad5a2699375d4b594b3341bf66723a4d66c716ebc15bd84da9537a5de3b1,No other supplied binary references the old filename; renamed to English.
LabVIEW串口调试/User Interface/主程序1 - 副本.vi,src/LabVIEW/User Interface/主程序1 - 副本.vi,src/serial-debugger/user-interface/PlanckExperiment_LegacyMain_Copy.vi,serial-ui,renamed,942c0cadaf06ee7c878aed8447bade774669a9535114f3885edd0392c1f4a8cf,942c0cadaf06ee7c878aed8447bade774669a9535114f3885edd0392c1f4a8cf,Historical copy retained with an explicit English name.
